HOUR :: DATE,AVG(PRICE)
2023-07-24 00:00:00.000,2.357397322
2023-07-25 00:00:00.000,2.138324149
2023-07-26 00:00:00.000,2.3375
2023-07-27 00:00:00.000,2.195
2023-07-28 00:00:00.000,2.158333333
2023-07-29 00:00:00.000,2.298658181
2023-07-30 00:00:00.000,2.351381654
2023-07-31 00:00:00.000,2.3025
2023-08-01 00:00:00.000,2.329166667
2023-08-02 00:00:00.000,2.3975
2023-08-03 00:00:00.000,2.311666667
2023-08-04 00:00:00.000,2.255
2023-08-05 00:00:00.000,2.130833333
2023-08-06 00:00:00.000,2.072083333
2023-08-07 00:00:00.000,2.045416667
2023-08-08 00:00:00.000,1.94375
2023-08-09 00:00:00.000,1.904166667
2023-08-10 00:00:00.000,1.759583333
2023-08-11 00:00:00.000,1.71
2023-08-12 00:00:00.000,1.756666667
2023-08-13 00:00:00.000,1.799166667
2023-08-14 00:00:00.000,1.789166667
2023-08-15 00:00:00.000,1.726666667
2023-08-16 00:00:00.000,1.574583333
2023-08-17 00:00:00.000,1.482916667
2023-08-18 00:00:00.000,1.469166667
2023-08-19 00:00:00.000,1.479166667
2023-08-20 00:00:00.000,1.492083333
2023-08-21 00:00:00.000,1.472916667
2023-08-22 00:00:00.000,1.452916667
2023-08-23 00:00:00.000,1.390416667
2023-08-24 00:00:00.000,1.425416667
2023-08-25 00:00:00.000,1.314166667
2023-08-26 00:00:00.000,1.262916667
2023-08-27 00:00:00.000,1.291666667
2023-08-28 00:00:00.000,1.240416667
2023-08-29 00:00:00.000,1.21
2023-08-30 00:00:00.000,1.260416667
2023-08-31 00:00:00.000,1.183333333
2023-09-01 00:00:00.000,1.11875
2023-09-02 00:00:00.000,1.152916667
2023-09-03 00:00:00.000,1.125416667
2023-09-04 00:00:00.000,1.107958333
2023-09-05 00:00:00.000,1.055416667
2023-09-06 00:00:00.000,1.157375
2023-09-07 00:00:00.000,1.2625
2023-09-08 00:00:00.000,1.16125
2023-09-09 00:00:00.000,1.147916667
2023-09-10 00:00:00.000,1.099333333
2023-09-11 00:00:00.000,1.055
2023-09-12 00:00:00.000,1.016791167
2023-09-13 00:00:00.000,1.014060458
2023-09-14 00:00:00.000,1.031708333
2023-09-15 00:00:00.000,1.156875
2023-09-16 00:00:00.000,1.500833333
2023-09-17 00:00:00.000,1.337916667
2023-09-18 00:00:00.000,1.336666667
2023-09-19 00:00:00.000,1.365
2023-09-20 00:00:00.000,1.452916667
2023-09-21 00:00:00.000,1.47875
2023-09-22 00:00:00.000,1.572083333
2023-09-23 00:00:00.000,1.56125
2023-09-24 00:00:00.000,1.575
2023-09-25 00:00:00.000,1.67875
2023-09-26 00:00:00.000,1.695416667
2023-09-27 00:00:00.000,1.72875
2023-09-28 00:00:00.000,1.825
2023-09-29 00:00:00.000,1.767083333
2023-09-30 00:00:00.000,1.752083333
2023-10-01 00:00:00.000,1.707916667
2023-10-02 00:00:00.000,1.698333333
2023-10-03 00:00:00.000,1.624166667
2023-10-04 00:00:00.000,1.521666667
2023-10-05 00:00:00.000,1.545
2023-10-06 00:00:00.000,1.57875
2023-10-07 00:00:00.000,1.634166667
2023-10-08 00:00:00.000,1.596666667
2023-10-09 00:00:00.000,1.552083333
2023-10-10 00:00:00.000,1.537083333
2023-10-11 00:00:00.000,1.58125
2023-10-12 00:00:00.000,1.512083333
2023-10-13 00:00:00.000,1.47125
2023-10-14 00:00:00.000,1.485833333
2023-10-15 00:00:00.000,1.50625
2023-10-16 00:00:00.000,1.577083333
2023-10-17 00:00:00.000,1.62875
2023-10-18 00:00:00.000,1.572916667
2023-10-19 00:00:00.000,1.46125
2023-10-20 00:00:00.000,1.5175
2023-10-21 00:00:00.000,1.55
2023-10-22 00:00:00.000,1.622916667
2023-10-23 00:00:00.000,1.567083333
2023-10-24 00:00:00.000,1.67625
2023-10-25 00:00:00.000,1.732916667
2023-10-26 00:00:00.000,1.781666667
2023-10-27 00:00:00.000,1.829583333
2023-10-28 00:00:00.000,1.87875
2023-10-29 00:00:00.000,1.83375
2023-10-30 00:00:00.000,1.868333333
2023-10-31 00:00:00.000,1.9675
2023-11-01 00:00:00.000,1.928333333
2023-11-02 00:00:00.000,1.827083333
2023-11-03 00:00:00.000,1.803760911
2023-11-04 00:00:00.000,1.870833333
2023-11-05 00:00:00.000,1.85
2023-11-06 00:00:00.000,1.807083333
2023-11-07 00:00:00.000,1.804583333
2023-11-08 00:00:00.000,1.81875
2023-11-09 00:00:00.000,1.814583333
2023-11-10 00:00:00.000,1.75875
2023-11-11 00:00:00.000,1.987916667
2023-11-12 00:00:00.000,1.926666667
2023-11-13 00:00:00.000,2.17375
2023-11-14 00:00:00.000,2.22125
2023-11-15 00:00:00.000,2.364166667
2023-11-16 00:00:00.000,2.31625
2023-11-17 00:00:00.000,2.065833333
2023-11-18 00:00:00.000,1.95875
2023-11-19 00:00:00.000,2.33875
2023-11-20 00:00:00.000,2.339166667
2023-11-21 00:00:00.000,2.348333333
2023-11-22 00:00:00.000,2.47375
2023-11-23 00:00:00.000,2.415833333
2023-11-24 00:00:00.000,2.47375
2023-11-25 00:00:00.000,2.68375
2023-11-26 00:00:00.000,2.680416667
2023-11-27 00:00:00.000,2.57
2023-11-28 00:00:00.000,2.475416667
2023-11-29 00:00:00.000,2.509166667
2023-11-30 00:00:00.000,2.391666667
2023-12-01 00:00:00.000,2.43875
2023-12-02 00:00:00.000,2.46625
2023-12-03 00:00:00.000,2.49875
2023-12-04 00:00:00.000,2.462083333
2023-12-05 00:00:00.000,2.441666667
2023-12-06 00:00:00.000,2.467083333
2023-12-07 00:00:00.000,2.440833333
2023-12-08 00:00:00.000,2.48625
2023-12-09 00:00:00.000,2.503333333
2023-12-10 00:00:00.000,2.622916667
2023-12-11 00:00:00.000,2.491666667
2023-12-12 00:00:00.000,2.43125
2023-12-13 00:00:00.000,2.4175
2023-12-14 00:00:00.000,2.573333333
2023-12-15 00:00:00.000,2.6025
2023-12-16 00:00:00.000,3.117916667
2023-12-17 00:00:00.000,4.1525
2023-12-18 00:00:00.000,3.965
2023-12-19 00:00:00.000,3.958333333
2023-12-20 00:00:00.000,3.5775
2023-12-21 00:00:00.000,3.619245687
2023-12-22 00:00:00.000,3.609513117
2023-12-23 00:00:00.000,3.423357353
2023-12-24 00:00:00.000,3.441924274
2023-12-25 00:00:00.000,3.590908534
2023-12-26 00:00:00.000,3.745074051
2023-12-27 00:00:00.000,3.608333333
2023-12-28 00:00:00.000,3.524583333
2023-12-29 00:00:00.000,3.5325
2023-12-30 00:00:00.000,3.655833333
2023-12-31 00:00:00.000,3.721666667
2024-01-01 00:00:00.000,3.585833333
2024-01-02 00:00:00.000,3.686666667
2024-01-03 00:00:00.000,3.426666667
2024-01-04 00:00:00.000,3.139166667
2024-01-05 00:00:00.000,3.021460081
2024-01-06 00:00:00.000,2.81242384
2024-01-07 00:00:00.000,2.760833333
2024-01-08 00:00:00.000,2.668333333
2024-01-09 00:00:00.000,2.65875
2024-01-10 00:00:00.000,2.539420093
2024-01-11 00:00:00.000,2.780833333
2024-01-12 00:00:00.000,2.875416667
2024-01-13 00:00:00.000,2.837788666
2024-01-14 00:00:00.000,2.817248955
2024-01-15 00:00:00.000,2.758490626
2024-01-16 00:00:00.000,2.775
2024-01-17 00:00:00.000,2.729166667
2024-01-18 00:00:00.000,2.66941933
2024-01-19 00:00:00.000,2.521421993
2024-01-20 00:00:00.000,2.492083333
2024-01-21 00:00:00.000,2.5425
2024-01-22 00:00:00.000,2.385
2024-01-23 00:00:00.000,2.217916667
2024-01-24 00:00:00.000,2.236666667
2024-01-25 00:00:00.000,2.27375
2024-01-26 00:00:00.000,2.314583333
2024-01-27 00:00:00.000,2.397916667
2024-01-28 00:00:00.000,2.36
2024-01-29 00:00:00.000,2.3375
2024-01-30 00:00:00.000,2.471666667
2024-01-31 00:00:00.000,2.38375
2024-02-01 00:00:00.000,2.269583333
2024-02-02 00:00:00.000,2.320833333
2024-02-03 00:00:00.000,2.337916667
2024-02-04 00:00:00.000,2.245833333
2024-02-05 00:00:00.000,2.205650851
2024-02-06 00:00:00.000,2.226666667
2024-02-07 00:00:00.000,2.285416667
2024-02-08 00:00:00.000,2.375416667
2024-02-09 00:00:00.000,2.444583333
2024-02-10 00:00:00.000,2.512916667
2024-02-11 00:00:00.000,2.514166667
2024-02-12 00:00:00.000,2.56375
2024-02-13 00:00:00.000,2.709166667
2024-02-14 00:00:00.000,2.927916667
2024-02-15 00:00:00.000,3.180416667
2024-02-16 00:00:00.000,4.059583333
2024-02-17 00:00:00.000,4.416345625
﻿
